,Latitude,Longitude,Weight,Phi,Landa
Greene52,39.88,-79.99,2.90,0.69609,-1.396067593
Greene53,39.88,-80.03,0.53,0.69611,-1.396727921
Greene54,39.88,-80.05,7.96,0.69611,-1.397054332
Greene55,39.89,-79.99,0.03,0.69626,-1.396004709
Greene56,39.89,-80.00,4.97,0.69629,-1.396316198
Greene57,39.89,-80.01,2.12,0.69623,-1.396357562
Greene58,39.89,-80.02,2.80,0.69613,-1.396601699
Greene59,39.89,-80.04,0.03,0.69615,-1.397036687
Greene60,39.90,-79.96,0.06,0.69645,-1.395566474
Greene61,39.90,-80.00,6.91,0.69633,-1.396188928
Greene62,39.90,-80.02,0.02,0.69636,-1.396564244
Greene63,39.90,-80.03,0.05,0.69635,-1.396771589
Greene64,39.91,-79.94,0.04,0.69663,-1.395167544
